id,createdAt,updatedAt,kill,victim,distance,weapon,timestamp,idDiscord
1,2025-10-23T17:39:35.663Z,2025-10-23T17:39:35.663Z,😎 NPC Drifter Level 2,😭 Traeknovik,1m,Improvised Rifle,2025-10-23T17:10:03.090Z,1430966514336665670
2,2025-10-23T17:39:35.664Z,2025-10-23T17:39:35.664Z,😎 bOYcTA,😭 Mewtwo,0m,Small Anti-Personnel Mine,2025-10-23T17:04:04.460Z,1430965010133160097
3,2025-10-23T17:39:35.664Z,2025-10-23T17:39:35.664Z,😎 Vigilantt Malditto,😭 Big,139m,AWP,2025-10-23T17:04:03.160Z,1430965004680827032
4,2025-10-23T17:39:35.665Z,2025-10-23T17:39:35.665Z,😎 TDB La Vendetta 2,😭 Mewtwo,26m,SF19,2025-10-23T16:37:05.392Z,1430958219269771264
5,2025-10-23T17:39:35.666Z,2025-10-23T17:39:35.666Z,😎 Mewtwo,😭 TDB La Vendetta 2,39m,AK47 Engraved,2025-10-23T16:36:05.354Z,1430957967452147722
6,2025-10-23T17:39:35.666Z,2025-10-23T17:39:35.666Z,😎 NPC Drifter Level 1,😭 Picadura,1m,Improvised Crossbow,2025-10-23T16:24:04.252Z,1430954942931140721
7,2025-10-23T17:39:35.668Z,2025-10-23T17:39:35.668Z,😎 Mewtwo,😭 TDB La Vendetta 2,34m,AK47 Engraved,2025-10-23T16:12:03.804Z,1430951921153343573
8,2025-10-23T17:39:35.669Z,2025-10-23T17:39:35.669Z,😎 Mewtwo,😭 TDB La Vendetta 2,0m,Improvised Mine,2025-10-23T15:50:03.931Z,1430946385204871268
9,2025-10-23T17:39:35.669Z,2025-10-23T17:39:35.669Z,😎 NPC Drifter Level 4,😭 Big,21m,SDASS 12M,2025-10-23T15:38:02.998Z,1430943361392574528
10,2025-10-23T17:39:35.671Z,2025-10-23T17:39:35.671Z,😎 NPC Drifter Level 4,😭 Big,25m,SDASS 12M,2025-10-23T15:28:03.247Z,1430940845854429336
11,2025-10-23T17:39:35.671Z,2025-10-23T17:39:35.671Z,😎 NPC Drifter Level 4,😭 Big,1m,Desert Eagle .50,2025-10-23T15:25:02.727Z,1430940088698671328
12,2025-10-23T17:39:35.672Z,2025-10-23T17:39:35.672Z,😎 REI_MERUEM,😭 Hector,13m,SF19,2025-10-23T11:24:05.033Z,1430879448735023166
13,2025-10-23T17:39:35.673Z,2025-10-23T17:39:35.673Z,😎 AlexisTexas,😭 REI_MERUEM,16m,M1911,2025-10-23T11:20:04.891Z,1430878441506472109
14,2025-10-23T17:39:35.673Z,2025-10-23T17:39:35.673Z,😎 NPC Drifter Level 3,😭 REI_MERUEM,6m,M1887,2025-10-23T10:41:03.725Z,1430868621944557618
15,2025-10-23T17:39:35.674Z,2025-10-23T17:39:35.674Z,😎 NPC Guard Level 2,😭 REI_MERUEM,1m,Improvised Handgun,2025-10-23T10:29:02.680Z,1430865597662494752
16,2025-10-23T17:39:35.675Z,2025-10-23T17:39:35.675Z,😎 NPC Guard Level 4,😭 Lucky Strike,29m,SDASS 12M,2025-10-23T05:22:03.943Z,1430788343880486922
17,2025-10-23T17:39:35.675Z,2025-10-23T17:39:35.675Z,😎 NPC Guard Level 1,😭 Shaco,1m,Improvised_Stone_Spear_C_2146138065,2025-10-23T05:13:05.786Z,1430786086686425168
18,2025-10-23T17:39:35.676Z,2025-10-23T17:39:35.676Z,😎 Shaco,😭 Lucky Strike,6m,Judge 44,2025-10-23T05:07:04.091Z,1430784569627377705
19,2025-10-23T17:39:35.677Z,2025-10-23T17:39:35.677Z,😎 NPC Guard Level 4,😭 matiias0001,1m,M1911,2025-10-23T04:17:03.287Z,1430771983343288424
20,2025-10-23T17:39:35.678Z,2025-10-23T17:39:35.678Z,😎 NPC Guard Level 2,😭 Silva Cannibal,44m,Improvised Rifle,2025-10-23T04:12:05.717Z,1430770735244116112
21,2025-10-23T17:39:35.679Z,2025-10-23T17:39:35.679Z,😎 levi,😭 Frik,33m,UMP 45,2025-10-23T04:10:03.943Z,1430770224487075840
22,2025-10-23T17:39:35.680Z,2025-10-23T17:39:35.680Z,😎 Triusky,😭 B M X,23m,AKS 74U,2025-10-23T03:59:03.560Z,1430767454640017478
23,2025-10-23T17:39:35.681Z,2025-10-23T17:39:35.681Z,😎 ONEReaper,😭 Lauti,164m,Weapon_AWM_Snake_C,2025-10-23T03:55:04.186Z,1430766450632687646
24,2025-10-23T17:39:35.681Z,2025-10-23T17:39:35.681Z,😎 Lauti,😭 DETO,45m,SDASS 12M,2025-10-23T03:38:05.916Z,1430762179698884792
25,2025-10-23T17:39:35.682Z,2025-10-23T17:39:35.682Z,😎 NPC Guard Level 2,😭 Jair Bolsonaro,6m,Improvised Handgun,2025-10-23T03:36:05.625Z,1430761675161600060
26,2025-10-23T17:39:35.683Z,2025-10-23T17:39:35.683Z,😎 SIRIRIC4,😭 REI_MERUEM,4m,AK47 Engraved,2025-10-23T03:30:04.385Z,1430760160011485256
27,2025-10-23T17:39:35.683Z,2025-10-23T17:39:35.683Z,😎 NPC Guard Level 3,😭 Lucky Strike,10m,M1887,2025-10-23T02:58:04.810Z,1430752108730126346
28,2025-10-23T17:39:35.684Z,2025-10-23T17:39:35.684Z,😎 NPC Guard Level 3,😭 Shaco,10m,M1887,2025-10-23T02:58:03.448Z,1430752103017615421
29,2025-10-23T17:39:35.685Z,2025-10-23T17:39:35.685Z,😎 NPC Guard Level 2,😭 Lucky Strike,14m,Improvised Rifle,2025-10-23T02:42:03.845Z,1430748078151041095
30,2025-10-23T17:39:35.685Z,2025-10-23T17:39:35.685Z,😎 TDB LC,😭 PCD MKGOD,12m,MK18,2025-10-23T02:40:04.193Z,1430747576293920818
31,2025-10-23T17:39:35.686Z,2025-10-23T17:39:35.686Z,😎 TDB Emiza,😭 Tatu,23m,AK47,2025-10-23T02:33:03.949Z,1430745813662957588
32,2025-10-23T17:39:35.686Z,2025-10-23T17:39:35.686Z,😎 Unknown,😭 Shaco,0m,PROM-1 Mine,2025-10-23T02:32:03.902Z,1430745561807585341
33,2025-10-23T17:39:35.688Z,2025-10-23T17:39:35.688Z,😎 BRUTÃO,😭 Chico Mineiro,10m,MP5_SD,2025-10-23T02:22:04.775Z,1430743048886681680
34,2025-10-23T17:39:35.689Z,2025-10-23T17:39:35.689Z,😎 P2Kid,😭 TDB LC,54m,SVD,2025-10-23T02:22:04.490Z,1430743047691440214
35,2025-10-23T17:39:35.690Z,2025-10-23T17:39:35.690Z,😎 BRUTÃO,😭 TDB Bibakillbr,27m,MP5_SD,2025-10-23T02:22:03.605Z,1430743043979350047
36,2025-10-23T17:39:35.690Z,2025-10-23T17:39:35.690Z,😎 NPC Guard Level 3,😭 PIA VENENOSO,1m,M1911,2025-10-23T02:21:03.592Z,1430742792266846248
37,2025-10-23T17:39:35.691Z,2025-10-23T17:39:35.691Z,😎 P2Kid,😭 TDB LC,38m,AK47,2025-10-23T02:19:06.573Z,1430742301453586575
